Output Data: 
StormID : AL011851  	Storm Name :                	Date range is : 18510625 - 18510628 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :1  
StormID : AL131932  	Storm Name :                	Date range is : 19321018 - 19321021 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL141932  	Storm Name :                	Date range is : 19321030 - 19321114 	Highest Maximum Knots are : 150 	Date :          	Time of Landfall are :0  
StormID : AL151932  	Storm Name :                	Date range is : 19321103 - 19321110 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL011933  	Storm Name :                	Date range is : 19330514 - 19330519 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL021933  	Storm Name :                	Date range is : 19330624 - 19330707 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL031933  	Storm Name :                	Date range is : 19330714 - 19330727 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL041933  	Storm Name :                	Date range is : 19330724 - 19330727 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL051933  	Storm Name :                	Date range is : 19330724 - 19330805 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :1  
StormID : AL061933  	Storm Name :                	Date range is : 19330813 - 19330828 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :2  
StormID : AL071933  	Storm Name :                	Date range is : 19330814 - 19330821 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL081933  	Storm Name :                	Date range is : 19330822 - 19330905 	Highest Maximum Knots are : 140 	Date :          	Time of Landfall are :1  
StormID : AL091933  	Storm Name :                	Date range is : 19330823 - 19330831 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL101933  	Storm Name :                	Date range is : 19330826 - 19330830 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL111933  	Storm Name :                	Date range is : 19330831 - 19330907 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :2  
StormID : AL121933  	Storm Name :                	Date range is : 19330908 - 19330922 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL131933  	Storm Name :                	Date range is : 19330910 - 19330916 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL141933  	Storm Name :                	Date range is : 19330916 - 19330925 	Highest Maximum Knots are : 140 	Date :          	Time of Landfall are :0  
StormID : AL151933  	Storm Name :                	Date range is : 19330924 - 19330928 	Highest Maximum Knots are : 65  	Date :          	Time of Landfall are :0  
StormID : AL161933  	Storm Name :                	Date range is : 19331001 - 19331004 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL171933  	Storm Name :                	Date range is : 19331001 - 19331009 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :0  
StormID : AL181933  	Storm Name :                	Date range is : 19331025 - 19331107 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL191933  	Storm Name :                	Date range is : 19331026 - 19331030 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL201933  	Storm Name :                	Date range is : 19331115 - 19331117 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL011934  	Storm Name :                	Date range is : 19340604 - 19340621 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :1  
StormID : AL021934  	Storm Name :                	Date range is : 19340712 - 19340717 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL031934  	Storm Name :                	Date range is : 19340722 - 19340726 	Highest Maximum Knots are : 75  	Date :          	Time of Landfall are :1  
StormID : AL041934  	Storm Name :                	Date range is : 19340820 - 19340823 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL051934  	Storm Name :                	Date range is : 19340826 - 19340901 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL061934  	Storm Name :                	Date range is : 19340901 - 19340904 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL071934  	Storm Name :                	Date range is : 19340905 - 19340910 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :2  
StormID : AL081934  	Storm Name :                	Date range is : 19340916 - 19340923 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL091934  	Storm Name :                	Date range is : 19340918 - 19340925 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL101934  	Storm Name :                	Date range is : 19341001 - 19341004 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL111934  	Storm Name :                	Date range is : 19341001 - 19341006 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL121934  	Storm Name :                	Date range is : 19341019 - 19341023 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL131934  	Storm Name :                	Date range is : 19341120 - 19341130 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :0  
StormID : AL011935  	Storm Name :                	Date range is : 19350515 - 19350519 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL021935  	Storm Name :                	Date range is : 19350816 - 19350826 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :0  
StormID : AL031935  	Storm Name :                	Date range is : 19350829 - 19350910 	Highest Maximum Knots are : 160 	Date :          	Time of Landfall are :2  
StormID : AL041935  	Storm Name :                	Date range is : 19350830 - 19350902 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL051935  	Storm Name :                	Date range is : 19350923 - 19351002 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL061935  	Storm Name :                	Date range is : 19351018 - 19351027 	Highest Maximum Knots are : 75  	Date :          	Time of Landfall are :0  
StormID : AL071935  	Storm Name :                	Date range is : 19351030 - 19351108 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL081935  	Storm Name :                	Date range is : 19351103 - 19351114 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL011936  	Storm Name :                	Date range is : 19360612 - 19360617 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :1  
StormID : AL021936  	Storm Name :                	Date range is : 19360619 - 19360622 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL031936  	Storm Name :                	Date range is : 19360626 - 19360628 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL041936  	Storm Name :                	Date range is : 19360726 - 19360728 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :1  
StormID : AL051936  	Storm Name :                	Date range is : 19360727 - 19360801 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :2  
StormID : AL061936  	Storm Name :                	Date range is : 19360804 - 19360811 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL071936  	Storm Name :                	Date range is : 19360807 - 19360812 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL081936  	Storm Name :                	Date range is : 19360815 - 19360820 	Highest Maximum Knots are : 65  	Date :          	Time of Landfall are :0  
StormID : AL091936  	Storm Name :                	Date range is : 19360820 - 19360823 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL101936  	Storm Name :                	Date range is : 19360825 - 19360906 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL111936  	Storm Name :                	Date range is : 19360828 - 19360831 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL121936  	Storm Name :                	Date range is : 19360907 - 19360908 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL131936  	Storm Name :                	Date range is : 19360908 - 19360925 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :0  
StormID : AL141936  	Storm Name :                	Date range is : 19360909 - 19360914 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL151936  	Storm Name :                	Date range is : 19360918 - 19360925 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL161936  	Storm Name :                	Date range is : 19361009 - 19361011 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL171936  	Storm Name :                	Date range is : 19361202 - 19361216 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL011937  	Storm Name :                	Date range is : 19370729 - 19370802 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :1  
StormID : AL021937  	Storm Name :                	Date range is : 19370802 - 19370809 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL031937  	Storm Name :                	Date range is : 19370824 - 19370902 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :1  
StormID : AL041937  	Storm Name :                	Date range is : 19370909 - 19370914 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL051937  	Storm Name :                	Date range is : 19370910 - 19370912 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL061937  	Storm Name :                	Date range is : 19370913 - 19370920 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :0  
StormID : AL071937  	Storm Name :                	Date range is : 19370916 - 19370921 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :2  
StormID : AL081937  	Storm Name :                	Date range is : 19370920 - 19370928 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL091937  	Storm Name :                	Date range is : 19370926 - 19371003 	Highest Maximum Knots are : 65  	Date :          	Time of Landfall are :0  
StormID : AL101937  	Storm Name :                	Date range is : 19371002 - 19371004 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :2  
StormID : AL111937  	Storm Name :                	Date range is : 19371018 - 19371021 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011938  	Storm Name :                	Date range is : 19380101 - 19380106 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL021938  	Storm Name :                	Date range is : 19380808 - 19380809 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL031938  	Storm Name :                	Date range is : 19380810 - 19380815 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :1  
StormID : AL041938  	Storm Name :                	Date range is : 19380823 - 19380829 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :0  
StormID : AL051938  	Storm Name :                	Date range is : 19380909 - 19380914 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL061938  	Storm Name :                	Date range is : 19380909 - 19380923 	Highest Maximum Knots are : 140 	Date :          	Time of Landfall are :2  
StormID : AL071938  	Storm Name :                	Date range is : 19381010 - 19381017 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL081938  	Storm Name :                	Date range is : 19381016 - 19381021 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL091938  	Storm Name :                	Date range is : 19381107 - 19381110 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL011939  	Storm Name :                	Date range is : 19390612 - 19390618 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :1  
StormID : AL021939  	Storm Name :                	Date range is : 19390807 - 19390819 	Highest Maximum Knots are : 65  	Date :          	Time of Landfall are :2  
StormID : AL031939  	Storm Name :                	Date range is : 19390815 - 19390820 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL041939  	Storm Name :                	Date range is : 19390923 - 19390927 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL051939  	Storm Name :                	Date range is : 19391011 - 19391018 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL061939  	Storm Name :                	Date range is : 19391028 - 19391107 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL011940  	Storm Name :                	Date range is : 19400519 - 19400527 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL021940  	Storm Name :                	Date range is : 19400803 - 19400810 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :1  
StormID : AL031940  	Storm Name :                	Date range is : 19400805 - 19400814 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :1  
StormID : AL041940  	Storm Name :                	Date range is : 19400826 - 19400903 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL051940  	Storm Name :                	Date range is : 19400907 - 19400919 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL061940  	Storm Name :                	Date range is : 19400918 - 19400925 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL071940  	Storm Name :                	Date range is : 19400922 - 19400928 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL081940  	Storm Name :                	Date range is : 19401020 - 19401024 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL091940  	Storm Name :                	Date range is : 19401024 - 19401029 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011941  	Storm Name :                	Date range is : 19410911 - 19410916 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL021941  	Storm Name :                	Date range is : 19410917 - 19410927 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :1  
StormID : AL031941  	Storm Name :                	Date range is : 19410918 - 19410925 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041941  	Storm Name :                	Date range is : 19410923 - 19410930 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :0  
StormID : AL051941  	Storm Name :                	Date range is : 19411003 - 19411013 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :3  
StormID : AL061941  	Storm Name :                	Date range is : 19411015 - 19411022 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL011942  	Storm Name :                	Date range is : 19420803 - 19420805 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL021942  	Storm Name :                	Date range is : 19420817 - 19420823 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL031942  	Storm Name :                	Date range is : 19420823 - 19420901 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL041942  	Storm Name :                	Date range is : 19420825 - 19420903 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL051942  	Storm Name :                	Date range is : 19420915 - 19420923 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL061942  	Storm Name :                	Date range is : 19420918 - 19420925 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL071942  	Storm Name :                	Date range is : 19420927 - 19420930 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL081942  	Storm Name :                	Date range is : 19420930 - 19421005 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL091942  	Storm Name :                	Date range is : 19421010 - 19421013 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL101942  	Storm Name :                	Date range is : 19421013 - 19421018 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL111942  	Storm Name :                	Date range is : 19421105 - 19421111 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL011943  	Storm Name :                	Date range is : 19430725 - 19430730 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL021943  	Storm Name :                	Date range is : 19430813 - 19430819 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL031943  	Storm Name :                	Date range is : 19430819 - 19430827 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL041943  	Storm Name :                	Date range is : 19430901 - 19430910 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :0  
StormID : AL051943  	Storm Name :                	Date range is : 19430913 - 19430917 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL061943  	Storm Name :                	Date range is : 19430915 - 19430920 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL071943  	Storm Name :                	Date range is : 19430928 - 19431002 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :1  
StormID : AL081943  	Storm Name :                	Date range is : 19431001 - 19431003 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL091943  	Storm Name :                	Date range is : 19431011 - 19431017 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL101943  	Storm Name :                	Date range is : 19431020 - 19431026 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL011944  	Storm Name :                	Date range is : 19440713 - 19440720 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL021944  	Storm Name :                	Date range is : 19440724 - 19440727 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL031944  	Storm Name :                	Date range is : 19440730 - 19440804 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL041944  	Storm Name :                	Date range is : 19440816 - 19440824 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :0  
StormID : AL051944  	Storm Name :                	Date range is : 19440818 - 19440823 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL061944  	Storm Name :                	Date range is : 19440909 - 19440911 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :2  
StormID : AL071944  	Storm Name :                	Date range is : 19440909 - 19440916 	Highest Maximum Knots are : 125 	Date :          	Time of Landfall are :2  
StormID : AL081944  	Storm Name :                	Date range is : 19440919 - 19440922 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL091944  	Storm Name :                	Date range is : 19440921 - 19440928 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL101944  	Storm Name :                	Date range is : 19440930 - 19441003 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL111944  	Storm Name :                	Date range is : 19440930 - 19441003 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL121944  	Storm Name :                	Date range is : 19441011 - 19441015 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL131944  	Storm Name :                	Date range is : 19441012 - 19441024 	Highest Maximum Knots are : 125 	Date :          	Time of Landfall are :2  
StormID : AL141944  	Storm Name :                	Date range is : 19441101 - 19441103 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL011945  	Storm Name :                	Date range is : 19450620 - 19450704 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :2  
StormID : AL021945  	Storm Name :                	Date range is : 19450719 - 19450722 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL031945  	Storm Name :                	Date range is : 19450802 - 19450804 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL041945  	Storm Name :                	Date range is : 19450817 - 19450821 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL051945  	Storm Name :                	Date range is : 19450824 - 19450829 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL061945  	Storm Name :                	Date range is : 19450829 - 19450901 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL071945  	Storm Name :                	Date range is : 19450903 - 19450906 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :1  
StormID : AL081945  	Storm Name :                	Date range is : 19450909 - 19450912 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL091945  	Storm Name :                	Date range is : 19450912 - 19450920 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :3  
StormID : AL101945  	Storm Name :                	Date range is : 19451002 - 19451007 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL111945  	Storm Name :                	Date range is : 19451010 - 19451016 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :0  
StormID : AL011946  	Storm Name :                	Date range is : 19460613 - 19460616 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :0  
StormID : AL021946  	Storm Name :                	Date range is : 19460705 - 19460710 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL031946  	Storm Name :                	Date range is : 19460825 - 19460826 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :1  
StormID : AL041946  	Storm Name :                	Date range is : 19460912 - 19460917 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :2  
StormID : AL051946  	Storm Name :                	Date range is : 19461001 - 19461006 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL061946  	Storm Name :                	Date range is : 19461005 - 19461014 	Highest Maximum Knots are : 85  	Date :          	Time of Landfall are :2  
StormID : AL071946  	Storm Name :                	Date range is : 19461031 - 19461103 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :3  
StormID : AL011947  	Storm Name :                	Date range is : 19470731 - 19470802 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL021947  	Storm Name :                	Date range is : 19470809 - 19470816 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :2  
StormID : AL031947  	Storm Name :                	Date range is : 19470818 - 19470827 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :2  
StormID : AL041947  	Storm Name :                	Date range is : 19470904 - 19470921 	Highest Maximum Knots are : 125 	Date :          	Time of Landfall are :3  
StormID : AL051947  	Storm Name :                	Date range is : 19470907 - 19470909 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL061947  	Storm Name :                	Date range is : 19470920 - 19470926 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :3  
StormID : AL071947  	Storm Name :                	Date range is : 19471005 - 19471009 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL081947  	Storm Name :                	Date range is : 19471008 - 19471011 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL091947  	Storm Name :                	Date range is : 19471008 - 19471016 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :3  
StormID : AL101947  	Storm Name :                	Date range is : 19471017 - 19471022 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :0  
StormID : AL011948  	Storm Name :                	Date range is : 19480522 - 19480529 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL021948  	Storm Name :                	Date range is : 19480707 - 19480711 	Highest Maximum Knots are : 35  	Date :          	Time of Landfall are :1  
StormID : AL031948  	Storm Name :                	Date range is : 19480826 - 19480905 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :0  
StormID : AL041948  	Storm Name :                	Date range is : 19480830 - 19480901 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL051948  	Storm Name :                	Date range is : 19480901 - 19480906 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL061948  	Storm Name :                	Date range is : 19480904 - 19480917 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :0  
StormID : AL071948  	Storm Name :                	Date range is : 19480907 - 19480910 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :0  
StormID : AL081948  	Storm Name :                	Date range is : 19480918 - 19480926 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :4  
StormID : AL091948  	Storm Name :                	Date range is : 19481003 - 19481016 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :4  
StormID : AL101948  	Storm Name :                	Date range is : 19481108 - 19481111 	Highest Maximum Knots are : 65  	Date :          	Time of Landfall are :0  
StormID : AL011949  	Storm Name :                	Date range is : 19490821 - 19490830 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL021949  	Storm Name :                	Date range is : 19490823 - 19490901 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :1  
StormID : AL031949  	Storm Name :                	Date range is : 19490830 - 19490903 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :1  
StormID : AL041949  	Storm Name :                	Date range is : 19490903 - 19490911 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :0  
StormID : AL051949  	Storm Name :                	Date range is : 19490903 - 19490905 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL061949  	Storm Name :                	Date range is : 19490905 - 19490916 	Highest Maximum Knots are : 65  	Date :          	Time of Landfall are :0  
StormID : AL071949  	Storm Name :                	Date range is : 19490911 - 19490914 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :1  
StormID : AL081949  	Storm Name :                	Date range is : 19490913 - 19490917 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL091949  	Storm Name :                	Date range is : 19490920 - 19490926 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :1  
StormID : AL101949  	Storm Name :                	Date range is : 19490920 - 19490922 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL111949  	Storm Name :                	Date range is : 19490927 - 19491007 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :1  
StormID : AL121949  	Storm Name :                	Date range is : 19491002 - 19491007 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL131949  	Storm Name :                	Date range is : 19491013 - 19491021 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL141949  	Storm Name :                	Date range is : 19491013 - 19491017 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL151949  	Storm Name :                	Date range is : 19491101 - 19491106 	Highest Maximum Knots are : 45  	Date :          	Time of Landfall are :0  
StormID : AL161949  	Storm Name :                	Date range is : 19491103 - 19491105 	Highest Maximum Knots are : 55  	Date :          	Time of Landfall are :1  
StormID : AL011950  	Storm Name : ABLE           	Date range is : 19500812 - 19500824 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :1  
StormID : AL021950  	Storm Name : BAKER          	Date range is : 19500818 - 19500901 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :3  
StormID : AL031950  	Storm Name : CHARLIE        	Date range is : 19500821 - 19500905 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL041950  	Storm Name : DOG            	Date range is : 19500830 - 19500918 	Highest Maximum Knots are : 125 	Date :          	Time of Landfall are :0  
StormID : AL051950  	Storm Name : EASY           	Date range is : 19500901 - 19500909 	Highest Maximum Knots are : 105 	Date :          	Time of Landfall are :4  
StormID : AL061950  	Storm Name : FOX            	Date range is : 19500908 - 19500917 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL071950  	Storm Name : GEORGE         	Date range is : 19500927 - 19501007 	Highest Maximum Knots are : 95  	Date :          	Time of Landfall are :0  
StormID : AL081950  	Storm Name : HOW            	Date range is : 19501001 - 19501004 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :0  
StormID : AL091950  	Storm Name : ITEM           	Date range is : 19501008 - 19501011 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL101950  	Storm Name : JIG            	Date range is : 19501011 - 19501018 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :0  
StormID : AL111950  	Storm Name : KING           	Date range is : 19501013 - 19501020 	Highest Maximum Knots are : 115 	Date :          	Time of Landfall are :2  
StormID : AL121950  	Storm Name :                	Date range is : 19501017 - 19501024 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL131950  	Storm Name : LOVE           	Date range is : 19501018 - 19501022 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
